2020-07-08 19:44:46.1041||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 19:45:09.5542||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 19:45:09.5542||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 19:45:09.5689||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 19:45:10.5369|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 19:45:11.2130||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 19:46:55.1173||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 19:47:05.8577||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 19:47:05.8577||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 19:47:05.8713||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 19:47:06.7339|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 19:47:07.3994||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 19:53:15.0089||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 19:53:22.1717||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 19:53:22.1755||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 19:53:22.1755||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 19:53:22.7610|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 19:53:22.7849||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:14:06.5873||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:14:11.2584||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:14:11.2708||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:14:11.2984||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:14:11.6476|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:14:11.6585||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:17:09.3268||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:17:13.1976||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:17:13.2102||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:17:13.2342||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:17:13.4741|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:17:34.5449||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:22:28.4071||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:22:36.9869||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:22:37.0057||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:22:37.0453||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:22:37.1687|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:22:37.1687||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:23:34.4364||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:26:35.5502||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:26:40.4127||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:26:40.4585||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-07-08 20:26:40.4831||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\jperezoch\source\repos\WebNetCore\Tgs.Authentication.Api |url: |action: 
2020-07-08 20:26:40.6178|1|DEBUG|Tgs.Web.Authentication.Api.Controllers.HomeController|NLog injected into HomeController |url: https://localhost/home|action: Get
2020-07-08 20:26:40.6178||INFO|Tgs.Web.Authentication.Api.Controllers.HomeController|Api funcionando correctamente |url: https://localhost/home|action: Get
2020-07-08 20:29:16.8710||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:32:13.5428||DEBUG|Tgs.Web.Authentication.Api.Program|init main |url: |action: 
2020-07-08 20:32:18.5628||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-07-08 20:32:18.6098||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
